URL,Title
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/16b97fcb-4833-4f66-8531-a9a700f161b6/1,النظام الأساسي للحكم
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/b5cf540a-e6ac-426a-b348-a9a700f163de/1,نظام مجلس الشورى
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/93e87aa7-f344-4711-b97c-a9a700f1662b/1,نظام مجلس الوزراء
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/93f81644-fbbc-49ca-b33c-a9a700f16701/1,نظام المناطق
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/3213c2f6-eaf8-45dc-8f8c-a9a700f167ee/1,نظام هيئة البيعة
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/83431376-5cf3-4374-875a-a9a700f16985/1,نظام الإذاعة الأساسي
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/0057fd8d-8ad4-48f9-b02f-a9a700f16a48/1,نظام دارة الملك عبد العزيز
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/a4d3a985-a838-47e8-977e-a9a700f16c1c/1,نظام الوثائق والمحفوظات
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/bdf15375-52e6-4c94-9153-a9a700f16cc3/1,نظام المركز الوطني للوثائق والمحفوظات
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/fe1771f7-158f-4570-9bb1-a9a700f16dec/1,نظام مكتبة الملك عبد العزيز العامة
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/ecaaec43-8ff9-46b8-b269-a9a700f16e66/1,نظام المطبوعات والنشر
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c385b62c-c635-484c-afa1-a9a700f16fe1/1,نظام المؤسسات الصحفية
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/67d159e6-ee98-4efc-a2ee-a9a700f17083/1,نظام حماية حقوق المؤلف
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/891a3908-3c1b-4b06-85ac-a9a700f17132/1,نظام مكتبة الملك فهد الوطنية
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/dc90bcd7-26fe-44c0-a40d-a9a700f17216/1,نظام الإيداع
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/77d77bae-afbb-4481-a1cd-a9a700f1744b/1,نظام عقوبات نشر الوثائق والمعلومات السرية وإفشائها
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/ed5fdbc0-c183-4a8a-a8b7-a9ed004b5900/1,نظام الإعلام المرئي والمسموع
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f935b20b-e275-4f4f-9441-acad00e22fdb/1,نظام صندوق التنمية الثقافي
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/c1878d16-7ce0-4710-993b-a9a700f17ac5/1,النظام الجزائي لجرائم التزوير
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f5b4288e-5625-4cf3-8ce8-a9a700f17bf9/1,نظام جوازات السفر السياسية والخاصة
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/19945fe2-e690-4b24-9ab0-a9a700f17d03/1,نظام السجن والتوقيف
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/ebd54fd4-fb61-458b-a837-a9a700f17e56/1,نظام عقوبات انتحال صفة رجل السلطة العامة
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/75e963c8-9ff3-4d10-88a4-a9a700f17f21/1,نظام مكافحة الرشوة
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/e29f08fa-d53e-4944-b22b-a9a700f17fd9/1,نظام وثائق السفر
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/4a8842df-9cd1-4ee7-bf97-a9a700f180d4/1,نظام مكافحة غسل الأموال
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/221b3286-a3c6-4ea4-97c7-a9a700f18273/1,نظام مكافحة المخدرات والمؤثرات العقلية
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/a05632b0-ac19-4659-af2a-a9a700f18337/1,نظام المتفجرات والمفرقعات
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/85364e57-c01e-41ba-8def-a9a700f183e9/1,نظام المرور
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/d9f183b6-3afc-4405-834f-a9a700f18571/1,نظام الجنسية العربية السعودية
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/8a1799f2-3cd4-4619-b2ce-a9a700f18741/1,النظام الجزائي الخاص بتزييف وتقليد النقود
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f62643d0-eff3-43c2-8629-a9a700f18812/1,نظام استبدال الغرامة بالحبس
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/871b7db0-6d40-4380-90a1-a9a700f188c7/1,نظام أمن الحدود
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/f09eda85-7150-4803-b87a-a9a700f189f3/1,نظام الدفاع المدني
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/7e2b99b1-0e84-4dd1-90c7-a9a700f18cdf/1,نظام الأحوال المدنية
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/51c9a546-fc5e-4607-ba34-a9a700f19012/1,نظام الحراسة الأمنية المدنية الخاصة
https://laws.boe.gov.sa/BoeLaws/Laws/LawDetails/a445af93-671f-496b-818a-a9a700f19150/1,نظام الأسلحة والذخائر
